Vehicle_Type,TollBoothID,Lane_Type,Vehicle_Dimensions,Transaction_Amount,Amount_paid,Vehicle_Speed,Fraud_indicator,Hour,DayOfWeek,State_code
Van,B-102,Express,Medium,130,130,48,0,7,2,KA
Sedan,A-101,Regular,Medium,120,120,85,0,22,2,KA
SUV,B-102,Express,Large,150,150,66,0,13,0,KA
Bus ,C-103,Regular,Large,340,100,93,1,5,1,KA
Car,A-101,Express,Small,100,100,54,0,20,6,MH
Motorcycle,D-106,Regular,Small,0,0,80,0,12,1,MH
Truck,C-103,Express,Large,340,90,62,1,3,6,MH
Van,B-102,Regular,Medium,130,130,89,0,18,0,MH
Sedan,A-101,Express,Medium,120,120,45,0,9,5,KA
SUV,B-102,Regular,Large,150,150,77,0,0,6,KA
Bus ,C-103,Express,Large,340,340,70,0,16,4,MH
Car,A-101,Regular,Small,100,100,92,0,7,5,MH
Motorcycle,D-106,Regular,Small,0,0,49,0,23,3,MH
Truck,C-103,Regular,Large,340,100,78,1,14,5,MH
Van,B-102,Express,Medium,130,130,67,0,5,1,KA
Sedan,A-101,Regular,Medium,120,120,95,0,21,4,KA
SUV,B-102,Express,Large,150,150,56,0,12,1,MH
Bus ,C-103,Regular,Large,340,340,83,0,4,2,MH
Car,A-101,Express,Small,100,100,68,0,19,0,MH
Motorcycle,D-106,Regular,Small,0,0,96,0,11,2,MH
Truck,C-103,Express,Large,340,340,47,0,2,0,MH
Van,B-102,Regular,Medium,130,130,82,0,17,1,MH
Sedan,A-101,Express,Medium,120,120,59,0,9,6,MH
SUV,B-102,Regular,Large,150,150,87,0,0,0,MH
Bus ,C-103,Express,Large,340,340,50,0,16,5,MH
Car,A-101,Regular,Small,100,100,76,0,7,6,MH
Motorcycle,D-106,Regular,Small,0,0,65,0,22,4,MH
Truck,C-103,Regular,Large,340,340,90,0,14,6,MH
Van,B-102,Express,Medium,130,130,53,0,5,4,MH
Sedan,A-101,Regular,Medium,120,120,79,0,21,5,KA
SUV,B-102,Express,Large,150,150,73,0,12,3,KA
Bus ,C-103,Regular,Large,340,340,97,0,4,4,MH
Car,A-101,Express,Small,100,100,44,0,19,2,MH
Motorcycle,D-106,Regular,Small,0,0,81,0,10,3,MH
Truck,C-103,Express,Large,340,340,64,0,2,1,MH
Van,B-102,Regular,Medium,130,100,93,1,17,1,KA
Sedan,A-101,Express,Medium,120,120,57,0,9,4,KA
SUV,B-102,Regular,Large,150,150,86,0,0,6,MH
Bus ,C-103,Express,Large,340,150,71,1,16,4,MH
Car,A-101,Regular,Small,100,100,99,0,7,5,MH
Motorcycle,D-106,Regular,Small,0,0,46,0,22,6,MH
Truck,C-103,Regular,Large,340,340,82,0,14,4,KA
Van,B-102,Express,Medium,130,130,67,0,5,5,KA
Sedan,A-101,Regular,Medium,120,120,94,0,21,3,MH
SUV,B-102,Express,Large,150,100,52,1,12,5,MH
Bus ,C-103,Regular,Large,340,340,88,0,3,3,MH
Car,A-101,Express,Small,100,100,63,0,19,4,MH
Motorcycle,D-106,Regular,Small,0,0,91,0,10,2,KA
Truck,C-103,Express,Large,340,100,55,1,2,3,KA
Van,B-102,Regular,Medium,130,130,81,0,17,1,MH
Sedan,A-101,Express,Medium,120,100,57,1,9,2,MH
SUV,B-102,Regular,Large,150,150,84,0,0,0,MH
Bus ,C-103,Express,Large,340,340,66,0,15,1,MH
Car,A-101,Regular,Small,100,100,91,0,7,6,KA
Motorcycle,D-106,Regular,Small,0,0,49,0,22,0,KA
Truck,C-103,Regular,Large,340,150,77,1,14,6,AP
Van,B-102,Express,Medium,130,130,59,0,5,0,AP
Sedan,A-101,Regular,Medium,120,120,88,0,20,6,AP
SUV,B-102,Express,Large,150,150,68,0,12,3,AP
Bus ,C-103,Regular,Large,340,340,93,0,3,4,AP
Car,A-101,Express,Small,100,100,72,0,19,2,AP
Motorcycle,D-106,Regular,Small,0,0,90,0,10,4,AP
Truck,C-103,Express,Large,340,340,53,0,2,5,AP
Van,B-102,Regular,Medium,130,130,80,0,17,2,AP
Sedan,A-101,Express,Medium,120,100,67,1,8,3,AP
SUV,B-102,Regular,Large,150,150,96,0,0,1,AP
Bus ,C-103,Express,Large,340,90,45,1,15,2,AP
Car,A-101,Regular,Small,100,100,79,0,7,0,AP
Motorcycle,D-106,Regular,Small,0,0,62,0,22,1,AP
Truck,C-103,Regular,Large,340,340,86,0,14,0,AP
Van,B-102,Express,Medium,130,130,50,0,5,1,AP
Sedan,A-101,Regular,Medium,120,120,75,0,20,6,AP
SUV,B-102,Express,Large,150,150,70,0,12,0,AP
Bus ,C-103,Regular,Large,340,340,93,0,3,5,AP
Car,A-101,Express,Small,100,100,58,0,19,6,AP
Motorcycle,D-106,Regular,Small,0,0,84,0,10,4,AP
Truck,C-103,Express,Large,340,150,69,1,1,5,AP
Van,B-102,Regular,Medium,130,100,97,1,17,3,AP
Sedan,A-101,Express,Medium,120,120,47,0,8,4,AP
SUV,B-102,Regular,Large,150,150,82,0,0,6,TN
Bus ,C-103,Express,Large,340,340,61,0,15,2,TN
Car,A-101,Regular,Small,100,100,89,0,7,3,TN
Motorcycle,D-106,Regular,Small,0,0,54,0,22,1,TN
Truck,C-103,Regular,Large,340,340,78,0,13,3,TN
Van,B-102,Express,Medium,130,130,65,0,5,4,TN
Sedan,A-101,Regular,Medium,120,120,92,0,20,2,TN
SUV,B-102,Express,Large,150,150,51,0,12,4,TN
Bus ,C-103,Regular,Large,340,100,76,1,3,2,TN
Car,A-101,Express,Small,100,100,60,0,18,3,TN
Motorcycle,D-106,Regular,Small,0,0,85,0,10,1,TN
Truck,C-103,Express,Large,340,340,67,0,1,2,TN
Van,B-102,Regular,Medium,130,130,94,0,17,0,TN
Sedan,A-101,Express,Medium,120,120,46,0,8,1,TN
SUV,B-102,Regular,Large,150,150,81,0,0,6,TN
Bus ,C-103,Express,Large,340,150,63,1,15,0,TN
Car,A-101,Regular,Small,100,100,87,0,6,5,TN
Motorcycle,D-106,Regular,Small,0,0,52,0,22,6,TN
Truck,C-103,Regular,Large,340,340,74,0,13,4,TN
Van,B-102,Express,Medium,130,130,58,0,5,5,TN
Sedan,A-101,Regular,Medium,120,120,83,0,20,3,TN
SUV,B-102,Express,Large,150,120,71,1,12,5,TN
Bus ,C-103,Regular,Large,340,340,98,0,3,4,TN
Car,A-101,Express,Small,100,100,48,0,18,0,TN
Motorcycle,D-106,Regular,Small,0,0,85,0,10,2,TN
Truck,C-103,Express,Large,340,340,66,0,1,0,TN
Van,B-102,Regular,Medium,130,130,93,0,17,3,TN
Sedan,A-101,Express,Medium,120,60,54,1,8,4,TN
SUV,B-102,Regular,Large,150,150,80,0,0,2,TN
Bus ,C-103,Express,Large,340,340,62,0,16,3,TN
Car,A-101,Regular,Small,100,100,89,0,7,1,TN
Motorcycle,D-106,Regular,Small,0,0,45,0,23,2,TN
Truck,C-103,Regular,Large,340,340,77,0,14,1,TN
Van,B-102,Express,Medium,130,130,70,0,6,2,TN
Sedan,A-101,Regular,Medium,120,120,92,0,21,0,TN
SUV,B-102,Express,Large,150,90,49,1,12,1,TN
Bus ,C-103,Regular,Large,340,340,78,0,4,6,TN
Car,A-101,Express,Small,100,100,67,0,19,0,TN
Motorcycle,D-106,Regular,Small,0,0,95,0,11,5,TN
Truck,C-103,Express,Large,340,150,56,1,2,6,TN
Van,B-102,Regular,Medium,130,130,83,0,18,4,TN
Sedan,A-101,Express,Medium,120,90,68,1,9,6,TN
SUV,B-102,Regular,Large,150,150,96,0,0,4,TN
Bus ,C-103,Express,Large,340,340,47,0,16,5,TN
Car,A-101,Regular,Small,100,80,82,1,7,4,TN
Motorcycle,D-106,Regular,Small,0,0,59,0,23,0,TN
Truck,C-103,Regular,Large,340,340,87,0,14,2,TN
Van,B-102,Express,Medium,130,130,50,0,5,0,TN
Sedan,A-101,Regular,Medium,120,120,76,0,21,3,TN
SUV,B-102,Express,Large,150,150,65,0,12,4,TN
Bus ,C-103,Regular,Large,340,340,90,0,4,2,TN
Car,A-101,Express,Small,100,100,53,0,19,3,TN
Motorcycle,D-106,Regular,Small,0,0,79,0,11,2,TN
Truck,C-103,Express,Large,340,340,73,0,2,3,TN
Van,B-102,Regular,Medium,130,130,97,0,17,1,TN
Sedan,A-101,Express,Medium,120,120,44,0,9,2,TN
SUV,B-102,Regular,Large,150,150,81,0,0,0,TN
Bus ,C-103,Express,Large,340,100,64,1,16,1,TN
Car,A-101,Regular,Small,100,100,93,0,7,6,TN
Motorcycle,D-106,Regular,Small,0,0,57,0,22,0,TN
Truck,C-103,Regular,Large,340,340,86,0,14,6,TN
Van,B-102,Express,Medium,130,130,71,0,5,0,TN
Sedan,A-101,Regular,Medium,120,120,99,0,21,5,TN
SUV,B-102,Express,Large,150,150,46,0,12,0,TN
Bus ,C-103,Regular,Large,340,340,82,0,4,5,TN
Car,A-101,Express,Small,100,100,67,0,19,6,TN
Motorcycle,D-106,Regular,Small,0,0,94,0,10,5,TN
Truck,C-103,Express,Large,340,340,52,0,2,1,TN
Van,B-102,Regular,Medium,130,130,88,0,17,2,TN
Sedan,A-101,Express,Medium,120,90,63,1,9,0,TN
SUV,B-102,Regular,Large,150,150,91,0,0,1,TN
Bus ,C-103,Express,Large,340,340,55,0,16,2,TN
Car,A-101,Regular,Small,100,100,81,0,7,0,TN
Motorcycle,D-106,Regular,Small,0,0,58,0,22,1,TN
Truck,C-103,Regular,Large,340,150,83,1,14,0,TN
Van,B-102,Express,Medium,130,130,66,0,5,1,TN
Sedan,A-101,Regular,Medium,120,120,91,0,21,6,TN
SUV,B-102,Express,Large,150,130,49,1,12,1,TN
Bus ,C-103,Regular,Large,340,340,77,0,3,6,TN
Car,A-101,Express,Small,100,100,59,0,19,0,TN
Motorcycle,D-106,Regular,Small,0,0,88,0,10,5,TN
Truck,C-103,Express,Large,340,340,68,0,2,6,TN
Van,B-102,Regular,Medium,130,100,93,1,17,4,TN
Sedan,A-101,Express,Medium,120,120,72,0,9,5,TN
SUV,B-102,Regular,Large,150,150,90,0,0,3,TN
Bus ,C-103,Express,Large,340,340,53,0,15,4,TN
Car,A-101,Regular,Small,100,100,80,0,7,2,TN
Motorcycle,D-106,Regular,Small,0,0,67,0,22,3,TN
Truck,C-103,Regular,Large,340,100,96,1,14,5,TN
Van,B-102,Express,Medium,130,130,45,0,5,6,TN
Sedan,A-101,Regular,Medium,120,120,79,0,21,4,TN
SUV,B-102,Express,Large,150,150,62,0,13,6,TN
Bus ,C-103,Regular,Large,340,340,86,0,4,0,TN
Car,A-101,Express,Small,100,100,50,0,20,5,TN
Motorcycle,D-106,Regular,Small,0,0,75,0,11,0,TN
Truck,C-103,Express,Large,340,340,70,0,3,5,TN
Van,B-102,Regular,Medium,130,130,93,0,18,6,TN
Sedan,A-101,Express,Medium,120,100,58,1,9,4,TN
SUV,B-102,Regular,Large,150,150,84,0,1,5,TN
Bus ,C-103,Express,Large,340,120,69,1,16,3,GA
Car,A-101,Regular,Small,100,100,97,0,8,4,GA
Motorcycle,D-106,Regular,Small,0,0,47,0,23,2,GA
Truck,C-103,Regular,Large,340,340,82,0,15,4,GA
Van,B-102,Express,Medium,130,90,61,1,6,2,GA
Sedan,A-101,Regular,Medium,120,120,89,0,21,3,GA
SUV,B-102,Express,Large,150,150,54,0,13,1,GA
Bus ,C-103,Regular,Large,340,340,78,0,4,2,GA
Car,A-101,Express,Small,100,100,65,0,20,0,GA
Motorcycle,D-106,Regular,Small,0,0,92,0,11,2,GA
Truck,C-103,Express,Large,340,120,51,1,2,5,GA
Van,B-102,Regular,Medium,130,130,76,0,18,1,GA
Sedan,A-101,Express,Medium,120,120,60,0,9,2,GA
SUV,B-102,Regular,Large,150,150,85,0,1,0,GA
Bus ,C-103,Express,Large,340,340,67,0,16,1,GA
Car,A-101,Regular,Small,100,100,94,0,8,2,GA
Motorcycle,D-106,Regular,Small,0,0,46,0,23,0,GA
Truck,C-103,Regular,Large,340,340,81,0,14,2,GA
Van,B-102,Express,Medium,130,130,63,0,6,0,GA
Sedan,A-101,Regular,Medium,120,120,87,0,21,1,GA
SUV,B-102,Express,Large,150,130,52,1,13,0,GA
Bus ,C-103,Regular,Large,340,90,74,1,4,1,GA
Car,A-101,Express,Small,100,100,58,0,20,6,GA
Motorcycle,D-106,Regular,Small,0,0,83,0,12,1,GA
Truck,C-103,Express,Large,340,340,71,0,3,6,GA
Van,B-102,Regular,Medium,130,130,98,0,19,0,GA
Sedan,A-101,Express,Medium,120,120,48,0,10,5,GA
SUV,B-102,Regular,Large,150,150,85,0,2,6,GA
Bus ,C-103,Express,Large,340,340,66,0,17,4,GA
Car,A-101,Regular,Small,100,100,93,0,8,5,GA
Motorcycle,D-106,Regular,Small,0,0,54,0,0,3,KA
Truck,C-103,Regular,Large,340,340,80,0,15,4,GA
Van,B-102,Express,Medium,130,130,62,0,7,3,GA
Sedan,A-101,Regular,Medium,120,120,89,0,22,6,GA
SUV,B-102,Express,Large,150,150,45,0,14,4,GA
Bus ,C-103,Regular,Large,340,340,77,0,5,5,GA
Car,A-101,Express,Small,100,80,70,1,20,2,GA
Motorcycle,D-106,Regular,Small,0,0,92,0,12,4,GA
Truck,C-103,Express,Large,340,340,49,0,3,2,GA
Van,B-102,Regular,Medium,130,130,78,0,19,3,GA
Sedan,A-101,Express,Medium,120,120,67,0,10,2,GA
SUV,B-102,Regular,Large,150,150,95,0,1,3,GA
Bus ,C-103,Express,Large,340,340,56,0,17,1,GA
Car,A-101,Regular,Small,100,100,83,0,8,2,GA
Motorcycle,D-106,Regular,Small,0,0,68,0,0,0,GA
Truck,C-103,Regular,Large,340,150,96,1,15,1,GA
Van,B-102,Express,Medium,130,130,47,0,7,6,GA
Sedan,A-101,Regular,Medium,120,100,82,1,22,0,GA
SUV,B-102,Express,Large,150,150,59,0,13,6,GA
Bus ,C-103,Regular,Large,340,340,87,0,5,0,GA
Car,A-101,Express,Small,100,100,50,0,20,5,GA
Motorcycle,D-106,Regular,Small,0,0,76,0,12,0,GA
Truck,C-103,Express,Large,340,340,65,0,3,5,GA
Van,B-102,Regular,Medium,130,130,90,0,19,6,GA
Sedan,A-101,Express,Medium,120,120,53,0,11,5,GA
SUV,B-102,Regular,Large,150,150,79,0,2,1,GA
Bus ,C-103,Express,Large,340,340,73,0,18,2,GA
Car,A-101,Regular,Small,100,100,97,0,9,0,GA
Motorcycle,D-106,Regular,Small,0,0,44,0,1,1,GA
Truck,C-103,Regular,Large,340,100,81,1,16,2,GA
Van,B-102,Express,Medium,130,130,64,0,7,0,GA
Sedan,A-101,Regular,Medium,120,120,93,0,23,1,GA
SUV,B-102,Express,Large,150,150,57,0,14,0,GA
Bus ,C-103,Regular,Large,340,340,86,0,6,1,GA
Car,A-101,Express,Small,100,80,71,1,21,6,GA
Motorcycle,D-106,Regular,Small,0,0,99,0,13,1,GA
Truck,C-103,Express,Large,340,340,46,0,4,6,GA
Van,B-102,Regular,Medium,130,130,82,0,19,0,GA
Sedan,A-101,Express,Medium,120,120,67,0,11,5,GA
SUV,B-102,Regular,Large,150,120,94,1,2,6,GA
Bus ,C-103,Express,Large,340,340,52,0,18,4,GA
Car,A-101,Regular,Small,100,100,88,0,9,5,GA
Motorcycle,D-106,Regular,Small,0,0,63,0,0,3,GA
Truck,C-103,Regular,Large,340,340,91,0,16,4,GA
Van,B-102,Express,Medium,130,100,55,1,7,2,GA
Sedan,A-101,Regular,Medium,120,120,81,0,23,3,GA
SUV,B-102,Express,Large,150,150,57,0,14,6,GA
Bus ,C-103,Regular,Large,340,340,84,0,6,0,GA
Car,A-101,Express,Small,100,100,66,0,21,5,GA
Motorcycle,D-106,Regular,Small,0,0,91,0,12,0,GA
Truck,C-103,Express,Large,340,340,49,0,4,1,GA
Van,B-102,Regular,Medium,130,100,77,1,19,6,GA
Sedan,A-101,Express,Medium,120,100,59,1,11,1,GA
SUV,B-102,Regular,Large,150,150,88,0,2,6,GA
Bus ,C-103,Express,Large,340,150,68,1,17,0,GA
Car,A-101,Regular,Small,100,100,93,0,9,5,GA
Motorcycle,D-106,Regular,Small,0,0,72,0,0,6,GA
Truck,C-103,Regular,Large,340,120,90,1,16,4,GA
Van,B-102,Express,Medium,130,130,53,0,7,5,GA
Sedan,A-101,Regular,Medium,120,100,80,1,23,3,GA
SUV,B-102,Express,Large,150,150,67,0,14,5,GA
Bus ,C-103,Regular,Large,340,340,96,0,5,3,GA
Car,A-101,Express,Small,100,80,45,1,21,4,GA
Motorcycle,D-106,Regular,Small,0,0,79,0,12,2,GA
Truck,C-103,Express,Large,340,340,62,0,4,3,GA
Van,B-102,Regular,Medium,130,100,86,1,19,1,GA
Sedan,A-101,Express,Medium,120,120,50,0,11,3,GA
SUV,B-102,Regular,Large,150,150,75,0,2,5,GA
Bus ,C-103,Express,Large,340,340,70,0,17,1,GA
Car,A-101,Regular,Small,100,100,93,0,9,2,MH
Motorcycle,D-106,Regular,Small,0,0,58,0,0,0,KA
Truck,C-103,Regular,Large,340,150,84,1,16,3,KA
Van,B-102,Express,Medium,130,130,69,0,7,4,KA
Sedan,A-101,Regular,Medium,120,120,97,0,22,2,KA
SUV,B-102,Express,Large,150,150,47,0,14,4,KA
Bus ,C-103,Regular,Large,340,340,82,0,5,2,KA
Car,A-101,Express,Small,100,100,61,0,21,3,KA
Motorcycle,D-106,Regular,Small,0,0,89,0,12,2,MH
Truck,C-103,Express,Large,340,340,54,0,4,3,MH
Van,B-102,Regular,Medium,130,130,78,0,19,1,KA
Sedan,A-101,Express,Medium,120,120,65,0,10,2,KA
SUV,B-102,Regular,Large,150,100,92,1,2,0,KA
Bus ,C-103,Express,Large,340,100,51,1,17,1,KA
Car,A-101,Regular,Small,100,100,76,0,9,6,KA
Motorcycle,D-106,Regular,Small,0,0,60,0,0,0,KA
Truck,C-103,Regular,Large,300,100,65,1,16,5,KA
Van,B-102,Express,Medium,120,120,70,0,8,6,KA
Sedan,A-101,Regular,Medium,110,110,75,0,23,4,KA
SUV,B-102,Express,Large,140,140,78,0,15,6,KA
Bus ,C-103,Regular,Large,300,300,63,0,6,5,KA
Car,A-101,Express,Small,70,70,67,0,22,1,KA
Motorcycle,D-106,Regular,Small,0,0,72,0,13,3,KA
Truck,C-103,Express,Large,300,70,58,1,4,1,KA
Van,B-102,Regular,Medium,120,120,80,0,20,2,KA
Sedan,A-101,Express,Medium,110,110,73,0,11,1,KA
SUV,B-102,Regular,Large,140,140,68,0,3,2,KA
Bus ,C-103,Express,Large,300,300,65,0,18,0,KA
Car,A-101,Regular,Small,70,70,75,0,10,1,KA
Motorcycle,D-106,Regular,Small,0,0,82,0,1,6,KA
Truck,C-103,Regular,Large,300,300,58,0,16,0,KA
Van,B-102,Express,Medium,120,120,70,0,8,5,KA
Sedan,A-101,Regular,Medium,110,110,78,0,23,6,KA
SUV,B-102,Express,Large,140,70,65,1,15,4,KA
Bus ,C-103,Regular,Large,300,300,70,0,6,5,KA
Car,A-101,Express,Small,70,70,62,0,21,3,KA
Motorcycle,D-106,Regular,Small,0,0,80,0,13,5,KA
Truck,C-103,Express,Large,300,300,55,0,4,3,KA
Van,B-102,Regular,Medium,120,120,68,0,20,4,KA
Sedan,A-101,Express,Medium,110,110,72,0,11,2,KA
SUV,B-102,Regular,Large,140,90,75,1,3,3,KA
Bus ,C-103,Express,Large,300,300,82,0,18,0,KA
Car,A-101,Regular,Small,70,70,88,0,9,2,KA
Motorcycle,D-106,Regular,Small,0,0,68,0,1,0,KA
Truck,C-103,Regular,Large,300,300,77,0,16,1,KA
Van,B-102,Express,Medium,120,120,62,0,8,5,KA
Sedan,A-101,Regular,Medium,110,70,65,1,23,6,KA
SUV,B-102,Express,Large,140,140,74,0,15,4,KA
Bus ,C-103,Regular,Large,300,60,79,1,6,5,KA
Car,A-101,Express,Small,70,70,55,0,21,3,KA
Motorcycle,D-106,Regular,Small,0,0,72,0,13,5,KA
Truck,C-103,Express,Large,300,300,68,0,4,3,KA
Van,B-102,Regular,Medium,120,120,75,0,20,4,KA
Sedan,A-101,Express,Medium,110,90,60,1,11,3,KA
SUV,B-102,Regular,Large,140,140,68,0,2,4,KA
Bus ,C-103,Express,Large,300,300,72,0,18,2,KA
Car,A-101,Regular,Small,70,70,78,0,9,3,KA
Motorcycle,D-106,Regular,Small,0,0,63,0,1,1,KA
Truck,C-103,Regular,Large,300,300,70,0,16,2,KA
Van,B-102,Express,Medium,120,120,65,0,8,0,KA
Sedan,A-101,Regular,Medium,110,110,80,0,23,1,KA
SUV,B-102,Express,Large,140,140,72,0,14,0,KA
Bus ,C-103,Regular,Large,300,300,68,0,6,1,KA
Car,A-101,Express,Small,70,70,75,0,21,0,KA
Motorcycle,D-106,Regular,Small,0,0,58,0,13,4,KA
Truck,C-103,Express,Large,300,300,65,0,4,5,KA
Van,B-102,Regular,Medium,120,110,70,1,20,3,KA
Sedan,A-101,Express,Medium,110,110,75,0,12,5,KA
SUV,B-102,Regular,Large,140,140,82,0,3,6,KA
Bus ,C-103,Express,Large,300,300,63,0,19,4,KA
Car,A-101,Regular,Small,70,70,67,0,10,5,KA
Motorcycle,D-106,Regular,Small,0,0,74,0,2,3,KA
Truck,C-103,Regular,Large,300,300,79,0,17,4,KA
Van,B-102,Express,Medium,120,120,55,0,8,2,KA
Sedan,A-101,Regular,Medium,110,110,68,0,0,3,KA
SUV,B-102,Express,Large,140,140,72,0,15,1,KA
Bus ,C-103,Regular,Large,300,300,60,0,7,2,KA
Car,A-101,Express,Small,70,70,75,0,22,0,KA
Motorcycle,D-106,Regular,Small,0,0,78,0,14,2,KA
Truck,C-103,Express,Large,300,300,68,0,5,0,KA
Van,B-102,Regular,Medium,120,120,65,0,20,1,KA
Sedan,A-101,Express,Medium,110,110,70,0,12,0,KA
SUV,B-102,Regular,Large,140,110,82,1,3,1,KA
Bus ,C-103,Express,Large,300,90,77,1,19,6,KA
Car,A-101,Regular,Small,70,70,55,0,10,1,KA
Motorcycle,D-106,Regular,Small,0,0,67,0,1,6,KA
Truck,C-103,Regular,Large,300,110,73,1,17,2,KA
Van,B-102,Express,Medium,120,120,68,0,8,3,KA
Sedan,A-101,Regular,Medium,110,70,75,1,0,1,KA
SUV,B-102,Express,Large,140,120,80,1,15,2,KA
Bus ,C-103,Regular,Large,300,300,63,0,7,3,KA
Car,A-101,Express,Small,70,70,72,0,22,1,KA
Motorcycle,D-106,Regular,Small,0,0,58,0,13,3,KA
Truck,C-103,Express,Large,300,300,68,0,5,1,KA
Van,B-102,Regular,Medium,120,120,70,0,20,2,KA
Sedan,A-101,Express,Medium,110,110,75,0,12,0,KA
SUV,B-102,Regular,Large,140,140,65,0,3,1,KA
Bus ,C-103,Express,Large,300,300,62,0,19,6,KA
Car,A-101,Regular,Small,70,70,77,0,11,0,KA
Motorcycle,D-106,Regular,Small,0,0,80,0,2,5,KA
Truck,C-103,Regular,Large,300,300,68,0,18,6,KA
Van,B-102,Express,Medium,120,90,72,1,9,4,MH
Sedan,A-101,Regular,Medium,110,110,75,0,1,5,MH
SUV,B-102,Express,Large,140,140,58,0,16,3,MH
Bus ,C-103,Regular,Large,300,300,63,0,7,4,DL
Car,A-101,Express,Small,70,70,70,0,23,2,KA
Motorcycle,D-106,Regular,Small,0,0,74,0,14,4,KA
Truck,C-103,Express,Large,300,300,79,0,6,6,MH
Van,B-102,Regular,Medium,120,120,65,0,21,2,KA
Sedan,A-101,Express,Medium,110,100,68,1,13,4,KA
SUV,B-102,Regular,Large,140,140,82,0,4,1,KA
Bus ,C-103,Express,Large,300,300,60,0,19,2,KA
Car,A-101,Regular,Small,70,70,72,0,11,3,KA
Motorcycle,D-106,Regular,Small,0,0,75,0,2,1,KA
Truck,C-103,Regular,Large,300,300,68,0,18,2,MH
Van,B-102,Express,Medium,120,120,70,0,9,0,MH
Sedan,A-101,Regular,Medium,110,110,55,0,0,1,MH
SUV,B-102,Express,Large,140,140,60,0,16,6,MH
Bus ,C-103,Regular,Large,300,300,65,0,7,0,DL
Car,A-101,Express,Small,70,70,70,0,23,5,MH
Motorcycle,D-106,Regular,Small,0,0,75,0,14,0,MH
Truck,C-103,Express,Large,300,300,78,0,6,5,MH
Van,B-102,Regular,Medium,120,120,63,0,21,6,MH
Sedan,A-101,Express,Medium,110,110,67,0,12,5,MH
SUV,B-102,Regular,Large,140,140,72,0,4,6,DL
Bus ,C-103,Express,Large,300,300,58,0,19,4,MH
Car,A-101,Regular,Small,70,0,80,1,11,6,MH
Motorcycle,D-106,Regular,Small,0,0,73,0,2,4,DL
Truck,C-103,Regular,Large,300,300,68,0,17,5,MH
Van,B-102,Express,Medium,120,120,65,0,9,4,MH
Sedan,A-101,Regular,Medium,110,110,75,0,0,0,DL
SUV,B-102,Express,Large,140,70,82,1,16,1,MH
Bus ,C-103,Regular,Large,300,120,58,1,7,6,MH
Car,A-101,Express,Small,70,70,70,0,23,0,DL
Motorcycle,D-106,Regular,Small,0,0,78,0,14,2,MH
Truck,C-103,Express,Large,300,300,65,0,5,0,MH
Van,B-102,Regular,Medium,120,120,70,0,21,1,MH
Sedan,A-101,Express,Medium,110,110,62,0,12,0,MH
SUV,B-102,Regular,Large,140,140,80,0,4,1,MH
Bus ,C-103,Express,Large,300,300,55,0,19,6,MH
Car,A-101,Regular,Small,70,70,68,0,11,1,MH
Motorcycle,D-106,Regular,Small,0,0,72,0,2,0,DL
Truck,C-103,Regular,Large,300,300,75,0,17,1,DL
Van,B-102,Express,Medium,120,120,82,0,9,6,DL
Sedan,A-101,Regular,Medium,110,110,88,0,0,0,DL
SUV,B-102,Express,Large,140,90,68,1,16,5,DL
Bus ,C-103,Regular,Large,300,300,77,0,7,6,DL
Car,A-101,Express,Small,70,70,62,0,22,4,DL
Motorcycle,D-106,Regular,Small,0,0,65,0,14,6,DL
Truck,C-103,Express,Large,300,300,74,0,5,4,DL
Van,B-102,Regular,Medium,120,120,79,0,21,5,DL
Sedan,A-101,Express,Medium,110,110,55,0,12,5,DL
SUV,B-102,Regular,Large,140,140,72,0,4,1,DL
Bus ,C-103,Express,Large,300,300,68,0,19,2,DL
Car,A-101,Regular,Small,70,70,75,0,10,0,DL
Motorcycle,D-106,Regular,Small,0,0,60,0,2,1,DL
Truck,C-103,Regular,Large,300,300,68,0,17,2,DL
Van,B-102,Express,Medium,120,70,72,1,9,0,DL
Sedan,A-101,Regular,Medium,110,60,78,1,0,1,DL
SUV,B-102,Express,Large,140,140,63,0,15,6,DL
Bus ,C-103,Regular,Large,300,300,70,0,7,0,DL
Car,A-101,Express,Small,70,70,65,0,22,5,DL
Motorcycle,D-106,Regular,Small,0,0,80,0,14,0,DL
Truck,C-103,Express,Large,300,300,72,0,5,5,DL
Van,B-102,Regular,Medium,120,120,68,0,21,6,DL
Sedan,A-101,Express,Medium,110,70,75,1,12,4,DL
SUV,B-102,Regular,Large,140,110,58,1,3,5,DL
Bus ,C-103,Express,Large,300,300,65,0,19,3,DL
Car,A-101,Regular,Small,70,70,70,0,10,5,DL
Motorcycle,D-106,Regular,Small,0,0,75,0,2,3,DL
Truck,C-103,Regular,Large,300,300,82,0,17,4,DL
Van,B-102,Express,Medium,120,120,63,0,9,2,DL
Sedan,A-101,Regular,Medium,110,110,67,0,0,3,DL
SUV,B-102,Express,Large,140,140,74,0,15,5,DL
Bus ,C-103,Regular,Large,300,300,79,0,7,6,DL
Car,A-101,Express,Small,70,70,55,0,22,4,DL
Motorcycle,D-106,Regular,Small,0,0,68,0,14,6,DL
Truck,C-103,Express,Large,300,90,72,1,5,0,DL
Van,B-102,Regular,Medium,120,120,60,0,20,5,DL
Sedan,A-101,Express,Medium,110,110,75,0,12,0,DL
SUV,B-102,Regular,Large,140,140,78,0,3,5,DL
Bus ,C-103,Express,Large,300,300,68,0,19,6,DL
